PLATE_ID,COLUMN_TREATMENT,Date cultured,Date plated,Date results ,ZONE_mm,Classification_R_I_S,COLUMN,,,,,,,,,
C_C03_D3_R1_IS1_1A,C,4/3/23,4/10/23,4/12/23,0,R,C03,,,,,,,,,
C_C03_D3_R1_IS1_1B,C,4/3/23,4/10/23,4/12/23,0,R,C03,,,,,,,,,
C_C03_D3_R1_IS1_2A,C,4/3/23,4/10/23,4/12/23,0,R,C03,,,,,,,,,
C_C03_D3_R1_IS1_2B,C,4/3/23,4/10/23,4/12/23,0,R,C03,,,,,,,,,
C_C03_D3_R1_IS2_1A,C,4/3/23,4/10/23,4/12/23,15,I,C03,,,,,,,,,
C_C03_D3_R1_IS2_1B,C,4/3/23,4/10/23,4/12/23,15,I,C03,,,,,,,,,
C_C03_D3_R1_IS2_2A,C,4/3/23,4/10/23,4/12/23,20,S,C03,,,,,,,,,
C_C03_D3_R1_IS2_2B,C,4/3/23,4/10/23,4/12/23,17,I,C03,,,,,,,,,
C_C03_D3_R2_IS1_1A,C,4/3/23,4/10/23,4/12/23,20,S,C03,,,,,,,,,
C_C03_D3_R2_IS1_1B,C,4/3/23,4/10/23,4/12/23,22,S,C03,,,,,,,,,
C_C03_D3_R2_IS1_2A,C,4/3/23,4/10/23,4/12/23,22,S,C03,,,,,,,,,
C_C03_D3_R2_IS1_2B,C,4/3/23,4/10/23,4/12/23,25,S,C03,,,,,,,,,
C_C03_D3_R2_IS2_1A,C,4/3/23,4/10/23,4/12/23,25,S,C03,,,,,,,,,
C_C03_D3_R2_IS2_1B,C,4/3/23,4/10/23,4/12/23,25,S,C03,,,,,,,,,
C_C03_D3_R2_IS2_2A,C,4/3/23,4/10/23,4/12/23,25,S,C03,,,,,,,,,
C_C03_D3_R2_IS2_2B,C,4/3/23,4/10/23,4/12/23,25,S,C03,,,,,,,,,
C_C03_D3_R3_IS1_1A,C,4/3/23,4/10/23,4/12/23,17,I,C03,,,,,,,,,
C_C03_D3_R3_IS1_1B,C,4/3/23,4/10/23,4/12/23,20,S,C03,,,,,,,,,
C_C03_D3_R3_IS1_2A,C,4/3/23,4/10/23,4/12/23,20,S,C03,,,,,,,,,
C_C03_D3_R3_IS1_2B,C,4/3/23,4/10/23,4/12/23,23,S,C03,,,,,,,,,
C_C03_D3_R3_IS3_1A,C,4/3/23,4/10/23,4/12/23,0,R,C03,,,,,,,,,
C_C03_D3_R3_IS3_1B,C,4/3/23,4/10/23,4/12/23,0,R,C03,,,,,,,,,
C_C03_D3_R3_IS3_2A,C,4/3/23,4/10/23,4/12/23,0,R,C03,,,,,,,,,\
C_C03_D3_R3_IS3_2B,C,4/3/23,4/10/23,4/12/23,0,R,C03,,,,,,,,,
C_C25_D1_R1_IS1_1A,C,3/21/23,3/22/23,3/24/23,0,R,C25,,,,,,,,,
C_C25_D1_R1_IS1_1B,C,3/21/23,3/22/23,3/24/23,0,R,C25,,,,,,,,,
C_C25_D1_R1_IS1_2A,C,3/21/23,3/22/23,3/24/23,0,R,C25,,,,,,,,,
C_C25_D1_R1_IS1_2B,C,3/21/23,3/22/23,3/24/23,0,R,C25,,,,,,,,,
C_C25_D1_R2_IS1_1A,C,3/21/23,3/22/23,3/24/23,8,R,C25,,,,,,,,,
C_C25_D1_R2_IS1_1B,C,3/21/23,3/22/23,3/24/23,8,R,C25,,,,,,,,,
C_C25_D1_R2_IS1_2A,C,3/21/23,3/22/23,3/24/23,9,R,C25,,,,,,,,,
C_C25_D1_R2_IS1_2B,C,3/21/23,3/22/23,3/24/23,10,R,C25,,,,,,,,,
C_C25_D1_R3_IS1_1A,C,3/21/23,3/22/23,3/24/23,9,R,C25,,,,,,,,,
C_C25_D1_R3_IS1_1B,C,3/21/23,3/22/23,3/24/23,10,R,C25,,,,,,,,,
C_C25_D1_R3_IS1_2A,C,3/21/23,3/22/23,3/24/23,8,R,C25,,,,,,,,,
C_C25_D1_R3_IS1_2B,C,3/21/23,3/22/23,3/24/23,8,R,C25,,,,,,,,,
C_C25_D1_R1_IS2_1A,C,3/21/23,3/22/23,3/24/23,0,R,C25,,,,,,,,,
C_C25_D1_R1_IS2_1B,C,3/21/23,3/22/23,3/24/23,0,R,C25,,,,,,,,,
C_C25_D1_R1_IS2_2A,C,3/21/23,3/22/23,3/24/23,0,R,C25,,,,,,,,,
C_C25_D1_R1_IS2_2B,C,3/21/23,3/22/23,3/24/23,0,R,C25,,,,,,,,,
C_C25_D1_R2_IS2_1A,C,3/21/23,3/22/23,3/24/23,10,R,C25,,,,,,,,,
C_C25_D1_R2_IS2_1B,C,3/21/23,3/22/23,3/24/23,11,R,C25,,,,,,,,,
C_C25_D1_R2_IS2_2A,C,3/21/23,3/22/23,3/24/23,0,R,C25,,,,,,,,,
C_C25_D1_R2_IS2_2B,C,3/21/23,3/22/23,3/24/23,0,R,C25,,,,,,,,,
C_C25_D1_R3_IS2_1A,C,3/21/23,3/22/23,3/24/23,0,R,C25,,,,,,,,,
C_C25_D1_R3_IS2_1B,C,3/21/23,3/22/23,3/24/23,8,R,C25,,,,,,,,,
C_C25_D1_R3_IS2_2A,C,3/21/23,3/22/23,3/24/23,7,R,C25,,,,,,,,,
C_C25_D1_R3_IS2_2B,C,3/21/23,3/22/23,3/24/23,0,R,C25,,,,,,,,,
C_C40_D3_R1_IS1_1A,C,4/3/23,4/5/23,4/7/23,18,I,C40,,,,,,,,,
C_C40_D3_R1_IS1_1B,C,4/3/23,4/5/23,4/7/23,18,I,C40,,,,,,,,,
C_C40_D3_R1_IS1_2A,C,4/3/23,4/5/23,4/7/23,18,I,C40,,,,,,,,,
C_C40_D3_R1_IS1_2B,C,4/3/23,4/5/23,4/7/23,17,I,C40,,,,,,,,,
C_C40_D3_R1_IS2_1A,C,4/3/23,4/5/23,4/7/23,20,S,C40,,,,,,,,,
C_C40_D3_R1_IS2_1B,C,4/3/23,4/5/23,4/7/23,21,S,C40,,,,,,,,,
C_C40_D3_R1_IS2_2A,C,4/3/23,4/5/23,4/7/23,15,I,C40,,,,,,,,,
C_C40_D3_R1_IS2_2B,C,4/3/23,4/5/23,4/7/23,16,I,C40,,,,,,,,,
C_C40_D3_R2_IS1_1A,C,4/3/23,4/5/23,4/7/23,15,I,C40,,,,,,,,,
C_C40_D3_R2_IS1_1B,C,4/3/23,4/5/23,4/7/23,16,I,C40,,,,,,,,,
C_C40_D3_R2_IS1_2A,C,4/3/23,4/5/23,4/7/23,16,I,C40,,,,,,,,,
C_C40_D3_R2_IS1_2B,C,4/3/23,4/5/23,4/7/23,15,I,C40,,,,,,,,,
C_C40_D3_R2_IS2_1A,C,4/3/23,4/5/23,4/7/23,17,I,C40,,,,,,,,,
C_C40_D3_R2_IS2_1B,C,4/3/23,4/5/23,4/7/23,16,I,C40,,,,,,,,,
C_C40_D3_R2_IS2_2A,C,4/3/23,4/5/23,4/7/23,15,I,C40,,,,,,,,,
C_C40_D3_R2_IS2_2B,C,4/3/23,4/5/23,4/7/23,15,I,C40,,,,,,,,,
C_C40_D3_R3_IS1_1A,C,4/3/23,4/5/23,4/7/23,16,I,C40,,,,,,,,,
C_C40_D3_R3_IS1_1B,C,4/3/23,4/5/23,4/7/23,14,R,C40,,,,,,,,,
C_C40_D3_R3_IS1_2A,C,4/3/23,4/5/23,4/7/23,16,I,C40,,,,,,,,,
C_C40_D3_R3_IS1_2B,C,4/3/23,4/5/23,4/7/23,15,I,C40,,,,,,,,,
C_C40_D3_R3_IS2_1A,C,4/3/23,4/5/23,4/7/23,15,I,C40,,,,,,,,,
C_C40_D3_R3_IS2_1B,C,4/3/23,4/5/23,4/7/23,15,I,C40,,,,,,,,,
C_C40_D3_R3_IS2_2A,C,4/3/23,4/5/23,4/7/23,20,S,C40,,,,,,,,,
C_C40_D3_R3_IS2_2B,C,4/3/23,4/5/23,4/7/23,17,I,C40,,,,,,,,,
M_C05_D3_R1_IS1_1A,M,3/21/23,3/22/23,3/24/23,0,R,C05,,,,,,,,,
M_C05_D3_R1_IS1_1B,M,3/21/23,3/22/23,3/24/23,0,R,C05,,,,,,,,,
M_C05_D3_R1_IS1_2A,M,3/21/23,3/22/23,3/24/23,0,R,C05,,,,,,,,,
M_C05_D3_R1_IS1_2B,M,3/21/23,3/22/23,3/24/23,0,R,C05,,,,,,,,,
M_C05_D3_R2_IS1_1A,M,3/21/23,3/22/23,3/24/23,10,R,C05,,,,,,,,,
M_C05_D3_R2_IS1_1B,M,3/21/23,3/22/23,3/24/23,10,R,C05,,,,,,,,,
M_C05_D3_R2_IS1_2A,M,3/21/23,3/22/23,3/24/23,15,I,C05,,,,,,,,,
M_C05_D3_R2_IS1_2B,M,3/21/23,3/22/23,3/24/23,14,R,C05,,,,,,,,,
M_C05_D3_R3_IS1_1A,M,3/21/23,3/22/23,3/24/23,22,S,C05,,,,,,,,,
M_C05_D3_R3_IS1_1B,M,3/21/23,3/22/23,3/24/23,20,S,C05,,,,,,,,,
M_C05_D3_R3_IS1_2A,M,3/21/23,3/22/23,3/24/23,20,S,C05,,,,,,,,,
M_C05_D3_R3_IS1_2B,M,3/21/23,3/22/23,3/24/23,21,S,C05,,,,,,,,,
M_C05_D3_R1_IS2_1A,M,3/21/23,3/22/23,3/24/23,0,R,C05,,,,,,,,,
M_C05_D3_R1_IS2_1B,M,3/21/23,3/22/23,3/24/23,0,R,C05,,,,,,,,,
M_C05_D3_R1_IS2_2A,M,3/21/23,3/22/23,3/24/23,0,R,C05,,,,,,,,,
M_C05_D3_R1_IS2_2B,M,3/21/23,3/22/23,3/24/23,0,R,C05,,,,,,,,,
M_C05_D3_R2_IS2_1A,M,3/21/23,3/22/23,3/24/23,9,R,C05,,,,,,,,,
M_C05_D3_R2_IS2_1B,M,3/21/23,3/22/23,3/24/23,9,R,C05,,,,,,,,,
M_C05_D3_R2_IS2_2A,M,3/21/23,3/22/23,3/24/23,10,R,C05,,,,,,,,,
M_C05_D3_R2_IS2_2B,M,3/21/23,3/22/23,3/24/23,10,R,C05,,,,,,,,,
M_C05_D3_R3_IS2_1A,M,3/21/23,3/22/23,3/24/23,0,R,C05,,,,,,,,,
M_C05_D3_R3_IS2_1B,M,3/21/23,3/22/23,3/24/23,0,R,C05,,,,,,,,,
M_C05_D3_R3_IS2_2A,M,3/21/23,3/22/23,3/24/23,0,R,C05,,,,,,,,,
M_C05_D3_R3_IS2_2B,M,3/21/23,3/22/23,3/24/23,0,R,C05,,,,,,,,,
M_C17_D3_R1_IS2_1A,M,4/3/23,4/10/23,4/12/23,13,R,C17,,,,,,,,,
M_C17_D3_R1_IS2_1B,M,4/3/23,4/10/23,4/12/23,11,R,C17,,,,,,,,,
M_C17_D3_R1_IS2_2A,M,4/3/23,4/10/23,4/12/23,10,R,C17,,,,,,,,,
M_C17_D3_R1_IS2_2B,M,4/3/23,4/10/23,4/12/23,11,R,C17,,,,,,,,,
M_C17_D3_R1_IS3_1A,M,4/3/23,4/10/23,4/12/23,11,R,C17,,,,,,,,,
M_C17_D3_R1_IS3_1B,M,4/3/23,4/10/23,4/12/23,13,R,C17,,,,,,,,,
M_C17_D3_R1_IS3_2A,M,4/3/23,4/10/23,4/12/23,11,R,C17,,,,,,,,,
M_C17_D3_R1_IS3_2B,M,4/3/23,4/10/23,4/12/23,11,R,C17,,,,,,,,,
M_C17_D3_R2_IS2_1A,M,4/3/23,4/10/23,4/12/23,0,R,C17,,,,,,,,,
M_C17_D3_R2_IS2_1B,M,4/3/23,4/10/23,4/12/23,0,R,C17,,,,,,,,,
M_C17_D3_R2_IS2_2A,M,4/3/23,4/10/23,4/12/23,0,R,C17,,,,,,,,,
M_C17_D3_R2_IS2_2B,M,4/3/23,4/10/23,4/12/23,0,R,C17,,,,,,,,,
M_C17_D3_R3_IS1_1A,M,4/3/23,4/10/23,4/12/23,20,S,C17,,,,,,,,,
M_C17_D3_R3_IS1_1B,M,4/3/23,4/10/23,4/12/23,16,I,C17,,,,,,,,,
M_C17_D3_R3_IS1_2A,M,4/3/23,4/10/23,4/12/23,20,S,C17,,,,,,,,,
M_C17_D3_R3_IS1_2B,M,4/3/23,4/10/23,4/12/23,23,S,C17,,,,,,,,,
M_C17_D3_R3_IS2_1A,M,4/3/23,4/10/23,4/12/23,17,I,C17,,,,,,,,,
M_C17_D3_R3_IS2_1B,M,4/3/23,4/10/23,4/12/23,15,I,C17,,,,,,,,,
M_C17_D3_R3_IS2_2A,M,4/3/23,4/10/23,4/12/23,15,I,C17,,,,,,,,,
M_C17_D3_R3_IS2_2B,M,4/3/23,4/10/23,4/12/23,16,I,C17,,,,,,,,,
M_C39_D3_R1_IS1_1A,M,4/3/23,4/5/23,4/7/23,0,R,C39,,,,,,,,,
M_C39_D3_R1_IS1_1B,M,4/3/23,4/5/23,4/7/23,0,R,C39,,,,,,,,,
M_C39_D3_R1_IS1_2A,M,4/3/23,4/5/23,4/7/23,0,R,C39,,,,,,,,,
M_C39_D3_R1_IS1_2B,M,4/3/23,4/5/23,4/7/23,0,R,C39,,,,,,,,,
M_C39_D3_R1_IS2_1A,M,4/3/23,4/5/23,4/7/23,17,I,C39,,,,,,,,,
M_C39_D3_R1_IS2_1B,M,4/3/23,4/5/23,4/7/23,16,I,C39,,,,,,,,,
M_C39_D3_R1_IS2_2A,M,4/3/23,4/5/23,4/7/23,15,I,C39,,,,,,,,,
M_C39_D3_R1_IS2_2B,M,4/3/23,4/5/23,4/7/23,15,I,C39,,,,,,,,,
M_C39_D3_R2_IS1_1A,M,4/3/23,4/5/23,4/7/23,20,S,C39,,,,,,,,,
M_C39_D3_R2_IS1_1B,M,4/3/23,4/5/23,4/7/23,18,I,C39,,,,,,,,,
M_C39_D3_R2_IS1_2A,M,4/3/23,4/5/23,4/7/23,19,S,C39,,,,,,,,,
M_C39_D3_R2_IS1_2B,M,4/3/23,4/5/23,4/7/23,18,I,C39,,,,,,,,,
M_C39_D3_R2_IS2_1A,M,4/3/23,4/5/23,4/7/23,0,R,C39,,,,,,,,,
M_C39_D3_R2_IS2_1B,M,4/3/23,4/5/23,4/7/23,0,R,C39,,,,,,,,,
M_C39_D3_R2_IS2_2A,M,4/3/23,4/5/23,4/7/23,0,R,C39,,,,,,,,,
M_C39_D3_R2_IS2_2B,M,4/3/23,4/5/23,4/7/23,0,R,C39,,,,,,,,,
M_C39_D3_R3_IS1_1A,M,4/3/23,4/5/23,4/7/23,0,R,C39,,,,,,,,,
M_C39_D3_R3_IS1_1B,M,4/3/23,4/5/23,4/7/23,0,R,C39,,,,,,,,,
M_C39_D3_R3_IS1_2A,M,4/3/23,4/5/23,4/7/23,0,R,C39,,,,,,,,,
M_C39_D3_R3_IS1_2B,M,4/3/23,4/5/23,4/7/23,0,R,C39,,,,,,,,,
M_C39_D3_R3_IS2_1A,M,4/3/23,4/5/23,4/7/23,0,R,C39,,,,,,,,,
M_C39_D3_R3_IS2_1B,M,4/3/23,4/5/23,4/7/23,0,R,C39,,,,,,,,,
M_C39_D3_R3_IS2_2A,M,4/3/23,4/5/23,4/7/23,0,R,C39,,,,,,,,,
M_C39_D3_R3_IS2_2B,M,4/3/23,4/5/23,4/7/23,0,R,C39,,,,,,,,,
D_C18_D3_R1_IS2_1A,D,4/3/23,4/5/23,4/7/23,16,I,C18,,,,,,,,,
D_C18_D3_R1_IS2_1B,D,4/3/23,4/5/23,4/7/23,16,I,C18,,,,,,,,,
D_C18_D3_R1_IS2_2A,D,4/3/23,4/5/23,4/7/23,20,S,C18,,,,,,,,,
D_C18_D3_R1_IS2_2B,D,4/3/23,4/5/23,4/7/23,18,I,C18,,,,,,,,,
D_C18_D3_R1_IS3_1A,D,4/3/23,4/5/23,4/7/23,15,I,C18,,,,,,,,,
D_C18_D3_R1_IS3_1B,D,4/3/23,4/5/23,4/7/23,15,I,C18,,,,,,,,,
D_C18_D3_R1_IS3_2A,D,4/3/23,4/5/23,4/7/23,14,R,C18,,,,,,,,,
D_C18_D3_R1_IS3_2B,D,4/3/23,4/5/23,4/7/23,15,I,C18,,,,,,,,,
D_C18_D3_R2_IS1_1A,D,4/3/23,4/5/23,4/7/23,24,S,C18,,,,,,,,,
D_C18_D3_R2_IS1_1B,D,4/3/23,4/5/23,4/7/23,22,S,C18,,,,,,,,,
D_C18_D3_R2_IS1_2A,D,4/3/23,4/5/23,4/7/23,25,S,C18,,,,,,,,,
D_C18_D3_R2_IS1_2B,D,4/3/23,4/5/23,4/7/23,24,S,C18,,,,,,,,,
D_C18_D3_R2_IS2_1A,D,4/3/23,4/5/23,4/7/23,20,S,C18,,,,,,,,,
D_C18_D3_R2_IS2_1B,D,4/3/23,4/5/23,4/7/23,19,S,C18,,,,,,,,,
D_C18_D3_R2_IS2_2A,D,4/3/23,4/5/23,4/7/23,19,S,C18,,,,,,,,,
D_C18_D3_R2_IS2_2B,D,4/3/23,4/5/23,4/7/23,19,S,C18,,,,,,,,,
D_C18_D3_R3_IS1_1A,D,4/3/23,4/5/23,4/7/23,20,S,C18,,,,,,,,,
D_C18_D3_R3_IS1_1B,D,4/3/23,4/5/23,4/7/23,18,I,C18,,,,,,,,,
D_C18_D3_R3_IS1_2A,D,4/3/23,4/5/23,4/7/23,20,S,C18,,,,,,,,,
D_C18_D3_R3_IS1_2B,D,4/3/23,4/5/23,4/7/23,20,S,C18,,,,,,,,,
D_C18_D3_R3_IS2_1A,D,4/3/23,4/5/23,4/7/23,19,S,C18,,,,,,,,,
D_C18_D3_R3_IS2_1B,D,4/3/23,4/5/23,4/7/23,18,I,C18,,,,,,,,,
D_C18_D3_R3_IS2_2A,D,4/3/23,4/5/23,4/7/23,18,I,C18,,,,,,,,,
D_C18_D3_R3_IS2_2B,D,4/3/23,4/5/23,4/7/23,18,I,C18,,,,,,,,,
D_C33_D3_R1_IS1_1A,D,4/3/23,4/5/23,4/7/23,18,I,C33,,,,,,,,,
D_C33_D3_R1_IS1_1B,D,4/3/23,4/5/23,4/7/23,17,I,C33,,,,,,,,,
D_C33_D3_R1_IS1_2A,D,4/3/23,4/5/23,4/7/23,18,I,C33,,,,,,,,,
D_C33_D3_R1_IS1_2B,D,4/3/23,4/5/23,4/7/23,18,I,C33,,,,,,,,,
D_C33_D3_R1_IS2_1A,D,4/3/23,4/5/23,4/7/23,15,I,C33,,,,,,,,,
D_C33_D3_R1_IS2_1B,D,4/3/23,4/5/23,4/7/23,17,I,C33,,,,,,,,,
D_C33_D3_R1_IS2_2A,D,4/3/23,4/5/23,4/7/23,17,I,C33,,,,,,,,,
D_C33_D3_R1_IS2_2B,D,4/3/23,4/5/23,4/7/23,16,I,C33,,,,,,,,,
D_C33_D3_R2_IS1_1A,D,4/3/23,4/5/23,4/7/23,17,I,C33,,,,,,,,,
D_C33_D3_R2_IS1_1B,D,4/3/23,4/5/23,4/7/23,15,I,C33,,,,,,,,,
D_C33_D3_R2_IS1_2A,D,4/3/23,4/5/23,4/7/23,15,I,C33,,,,,,,,,
D_C33_D3_R2_IS1_2B,D,4/3/23,4/5/23,4/7/23,16,I,C33,,,,,,,,,
D_C33_D3_R2_IS2_1A,D,4/3/23,4/5/23,4/7/23,18,I,C33,,,,,,,,,
D_C33_D3_R2_IS2_1B,D,4/3/23,4/5/23,4/7/23,18,I,C33,,,,,,,,,
D_C33_D3_R2_IS2_2A,D,4/3/23,4/5/23,4/7/23,17,I,C33,,,,,,,,,
D_C33_D3_R2_IS2_2B,D,4/3/23,4/5/23,4/7/23,17,I,C33,,,,,,,,,
D_C33_D3_R3_IS1_1A,D,4/3/23,4/5/23,4/7/23,16,I,C33,,,,,,,,,
D_C33_D3_R3_IS1_1B,D,4/3/23,4/5/23,4/7/23,16,I,C33,,,,,,,,,
D_C33_D3_R3_IS1_2A,D,4/3/23,4/5/23,4/7/23,15,I,C33,,,,,,,,,
D_C33_D3_R3_IS1_2B,D,4/3/23,4/5/23,4/7/23,15,I,C33,,,,,,,,,
D_C33_D3_R3_IS2_1A,D,4/3/23,4/5/23,4/7/23,20,S,C33,,,,,,,,,
D_C33_D3_R3_IS2_1B,D,4/3/23,4/5/23,4/7/23,20,S,C33,,,,,,,,,
D_C33_D3_R3_IS2_2A,D,4/3/23,4/5/23,4/7/23,20,S,C33,,,,,,,,,
D_C33_D3_R3_IS2_2B,D,4/3/23,4/5/23,4/7/23,19,S,C33,,,,,,,,,
D_C37_D6_R1_IS1_1A,D,3/21/23,3/22/23,3/24/23,10,R,C37,,,,,,,,,
D_C37_D6_R1_IS1_1B,D,3/21/23,3/22/23,3/24/23,10,R,C37,,,,,,,,,
D_C37_D6_R1_IS1_2A,D,3/21/23,3/22/23,3/24/23,9,R,C37,,,,,,,,,
D_C37_D6_R1_IS1_2B,D,3/21/23,3/22/23,3/24/23,9,R,C37,,,,,,,,,
D_C37_D6_R2_IS2_1A,D,3/21/23,3/22/23,3/24/23,14,R,C37,,,,,,,,,
D_C37_D6_R2_IS2_1B,D,3/21/23,3/22/23,3/24/23,15,I,C37,,,,,,,,,
D_C37_D6_R2_IS2_2A,D,3/21/23,3/22/23,3/24/23,15,I,C37,,,,,,,,,
D_C37_D6_R2_IS2_2B,D,3/21/23,3/22/23,3/24/23,20,S,C37,,,,,,,,,
D_C37_D6_R3_IS1_1A,D,3/21/23,3/22/23,3/24/23,12,R,C37,,,,,,,,,
D_C37_D6_R3_IS1_1B,D,3/21/23,3/22/23,3/24/23,11,R,C37,,,,,,,,,
D_C37_D6_R3_IS1_2A,D,3/21/23,3/22/23,3/24/23,8,R,C37,,,,,,,,,
D_C37_D6_R3_IS1_2B,D,3/21/23,3/22/23,3/24/23,8,R,C37,,,,,,,,,
D_C37_D6_R1_IS2_1A,D,3/21/23,3/22/23,3/24/23,14,R,C37,,,,,,,,,
D_C37_D6_R1_IS2_1B,D,3/21/23,3/22/23,3/24/23,15,I,C37,,,,,,,,,
D_C37_D6_R1_IS2_2A,D,3/21/23,3/22/23,3/24/23,9,R,C37,,,,,,,,,
D_C37_D6_R1_IS2_2B,D,3/21/23,3/22/23,3/24/23,9,R,C37,,,,,,,,,
D_C37_D6_R2_IS3_1A,D,3/21/23,3/22/23,3/24/23,8,R,C37,,,,,,,,,
D_C37_D6_R2_IS3_1B,D,3/21/23,3/22/23,3/24/23,9,R,C37,,,,,,,,,
D_C37_D6_R2_IS3_2A,D,3/21/23,3/22/23,3/24/23,9,R,C37,,,,,,,,,
D_C37_D6_R2_IS3_2B,D,3/21/23,3/22/23,3/24/23,8,R,C37,,,,,,,,,
D_C37_D6_R3_IS2_1A,D,3/21/23,3/22/23,3/24/23,9,R,C37,,,,,,,,,
D_C37_D6_R3_IS2_1B,D,3/21/23,3/22/23,3/24/23,8,R,C37,,,,,,,,,
D_C37_D6_R3_IS2_2A,D,3/21/23,3/22/23,3/24/23,12,R,C37,,,,,,,,,
D_C37_D6_R3_IS2_2B,D,3/21/23,3/22/23,3/24/23,10,R,C37,,,,,,,,,